raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text
1,鷲頭山,わしずさん,392,9162,
2,発端丈山,ほったんじょうやま,410,9163,
3,城山,じょうやま,342.2,9168,
4,達磨山,だるまやま,981.9,405,
5,猫越岳,ねっこだけ,1034.7,17969,
6,猿山,さるやま,999.8,9097,
7,長九郎山,ちょうくろうやま,995.7,406,
8,婆娑羅山,ばさらやま,608.4,9084,
9,大峠,おおとうげ,470.2,,
10,登り尾,のぼりお,1056.6,9099,
11,万三郎岳,ばんさぶろうだけ,1405.6,404,
12,遠笠山,とうがさやま,1196.9,8706,
13,大室山,おおむろやま,579.61,403,
14,玄岳,くろだけ,798.4,402,
15,日金山,ひがねさん,774.4,8719,
16,金時山,きんときやま,1212.5,401,
17,富士山,ふじさん,3775.6,396,
18,三国山,みくにやま,1320,1536,
19,雨ヶ岳,あまがたけ,1771.7,1565,
20,毛無山,けなしやま,1945.5,398,
21,天子ヶ岳,てんしがたけ,1316,399,
22,愛鷹山,あしたかやま,1187.5,9227,
23,越前岳,えちぜんだけ,1504.2,397,
24,白鳥山,しろとりやま,567.7,9216,
25,浜石岳,はまいしだけ,707.1,9191,
26,高ドッキョウ,たかどっきょう,1133.5,647,
27,竜爪山,りゅうそうざん,1041,648,
28,真富士山,まふじやま,1343,9188,
29,（安倍）青笹山,あおざさやま,1550,9213,
30,十枚山,じゅうまいさん,1717,645,
31,奥大光山,おくおおびっかりやま,1620,18216,
32,八紘嶺,はっこうれい,1917.9,9242,
33,大谷崩ノ頭（大谷嶺）,おおやくずれのかしら（おおやれい）,1999.7,18218,
34,山伏,やんぶし,2013.7,644,
35,（井川）笹山,ささやま,1763.3,9240,
36,突先山,とっさきやま,1021.7,9153,
37,二王山,におうさん,1208.1,9209,
38,見月山,みつきやま,1046.9,9184,
39,高山（牛ヶ峰）,たかやま（うしがみね）,716.9,9155,
40,日本平,にほんだいら,307,9134,
41,石谷山（ビク石）,いしたにやま（びくいし）,526,18219,
42,高草山,たかくさやま,501.4,9115,
43,高根山,たかねさん,871,9123,
44,千葉山,ちばさん,496,9114,
45,無双連山,むそれやま,1083.3,18220,
46,智者山,ちしゃやま,1291,9183,
47,七ッ峰,ななつみね,1533,9181,
48,朝日岳,あさひだけ,1826.6,9207,
49,池口岳,いけぐちだけ,2392,628,
50,鶏冠山,とさかやま,2204,9230,
51,中ノ尾根山,なかのおねやま,2296,14835,
52,不動岳,ふどうだけ,2171.3,632,
53,丸盆岳,まるぼんだけ,2066,9202,
54,前黒法師岳,まえくろぼうしだけ,1943,9205,
55,黒法師岳,くろぼうしだけ,2067.4,633,
56,蕎麦粒山,そばつぶやま,1627.1,634,
57,沢口山,さわぐちやま,1424.8,9180,
58,大札山,おおふだやま,1373.6,9178,
59,（井川）青笹山,あおざさやま,2208.9,1515,
60,青薙山,あおなぎやま,2406,641,
61,布引山,ぬのびきやま,2583.7,640,
62,笊ヶ岳,ざるがたけ,2629,639,
63,生木割（黒桂岳）,なまきわり（つづらだけ）,2539.3,18221,
64,黒河内岳（笹山）,くろごうちだけ（ささやま）,2717.6,599,
65,広河内岳,ひろごうちだけ,2895,597,
66,農鳥岳,のうとりだけ,3025.9,595,
67,間ノ岳,あいのだけ,3189.3,593,
68,蝙蝠岳,こうもりだけ,2864.7,605,
69,塩見岳,しおみだけ,3046.9,604,
70,小河内岳,おごうちだけ,2801.6,610,
71,赤石岳,あかいしだけ,3120.1,617,
72,悪沢岳（荒川三山）,わるさわだけ,3141,614,
73,大沢岳,おおさわだけ,2819,620,
74,兎岳,うさぎだけ,2799.3,622,
75,聖岳,ひじりだけ,3013,623,
76,上河内岳,かみこうちだけ,2803,624,
77,茶臼岳,ちゃうすだけ,2604,625,
78,仁田岳,にっただけ,2523.8,626,
79,易老岳,いろうだけ,2354,1505,
80,光岳,てかりだけ,2591.1,627,
81,大根沢山,おおねざわやま,2239.2,9236,
82,大無間山,だいむげんざん,2329.3,631,
83,岩岳山,いわたけやま,1369.3,9143,
84,京丸山,きょうまるやま,1469,636,
85,高塚山,たかつかやま,1621.1,635,
86,秋葉山,あきはさん,866,637,
87,竜頭山,りゅうとうざん,1351.6,8979,
88,常光寺山,じょうこうじさん,1438.5,9018,
89,麻布山,あざぶやま,1685.1,9046,
90,白倉山,しらくらやま,1027.1,8975,
91,観音山,かんのんやま,1418.2,9043,
92,小笠山,おがさやま,264.4,9081,
93,粟ヶ岳,あわがたけ,532,9107,
94,八高山,はっこうざん,832.1,638,
95,大日山,だいにちさん,881,9121,
96,春埜山,はるのさん,872,8955,
97,三岳山,みたけやま,466.8,8929,
98,鳶ノ巣山,とびのすやま,711,14698,
99,富幕山,とんまくやま,563.2,8918,
100,神石山,かみいしやま,324.7,18222,
